"LoanOriginalAmount","DebtToIncomeRatio","credit_and_prosper_grade","BankcardUtilization"
10000,0.35,"B",0.27
10000,0.35,"B",0.27
4000,0.31,"B",0.26
25000,0.37,"C",0.95
2000,0.05,"C",0.4
4000,0.03,"A",0.6
1500,0.42,"HR",1.03
6001,0.09,"C",0.63
2500,0.09,"AA",0.02
5000,0.37,"E",0.78
6567,0.09,"B",0.48
3000,0.35,"HR",0.52
7500,0.22,"D",0.18
4000,NA,"D",0.88
13000,0.21,"AA",0.39
1000,NA,"AA",0.05
15000,NA,"C",0
7000,0.3,"C",0.61
7000,0.14,"C",0.69
15000,0.25,"AA",0.34
9000,0.22,"D",0.5
4000,0.24,"E",0.53
4500,0.12,"B",0.61
10000,0.34,"D",0.35
5000,0.12,"A",0.53
5000,0.0248,"AA",NA
2000,0.45,"D",0.06
11500,0.26,"D",0.52
10000,0.17,"D",0.91
10000,0.35,"C",0.22
3500,0.28,"D",0.82
30000,0.21,"B",0.38
15000,0.31,"C",0.72
5000,0.3,"C",0.82
5000,0.21,"D",0.86
10000,0.34,"D",0.97
19500,0.19,"AA",NA
12000,0.25,"C",0.6
2000,0.06,"HR",0.83
4000,0.28,"HR",0.88
10000,0.13,"D",0.85
15000,0.22,"C",0.45
1000,0.13,"AA",NA
4000,0.53,"C",0.61
20000,0.28,"C",0.91
5000,0.2,"D",0.94
7500,0.05,"A",0
4000,0.07,"HR",0.02
2000,0.31,"A",0.7
4000,0.29,"HR",0.34
5000,0.44,"C",0.93
25000,0.1,"A",0.85
4000,0.13,"E",0.77
15000,0.34,"B",0.32
5000,0.18,"A",0.66
15000,NA,"A",0.76
8000,0.24,"D",0.05
13000,0.17,"A",0.79
2500,0.06,"AA",0.04
10000,NA,"C",0.92
4500,0.29,"A",0.76
10000,0.33,"C",0.46
2000,0.07,"E",0.49
15000,0.24,"A",0.72
2000,0.03,"HR",NA
3000,0.17,"C",0
2000,0.09,"A",0.07
12015,0.39,"A",0.78
4000,0.12,"HR",0
3000,0.22,"D",0.77
15000,0.06,"A",0.92
25000,0.14,"AA",0.25
5000,0.2,"B",0.62
4000,0.18,"E",0.38
9000,0.16,"B",0.82
15000,0.27,"B",0.39
20000,0.28,"C",0.93
4000,0.24,"E",0.78
4000,0.09,"C",0.61
2000,0.42,"C",0.47
5000,0.07,"B",0.47
20000,0.28,"AA",0.11
3000,0.15,"AA",0.07
3000,0.03,"B",NA
4000,0.22,"HR",0.92
15000,0.62,"C",0.18
12000,0.29,"C",0.68
8500,0.39,"AA",0.3
2500,0.15,"D",0.59
10000,0.41,"A",0.42
4000,0.25,"HR",0.52
15000,NA,"B",0.81
5000,0.38,"HR",1.05
14000,0.3,"B",0
19000,0.22,"B",0.34
6000,0.17,"AA",0.08
10000,0.26,"B",0.72
6250,0.09,"AA",0
7400,0.4,"A",0.71
24000,0.24,"B",0.42
4000,0.35,"E",0.69
15000,0.33,"C",0.97
4000,0.19,"HR",0.69
1000,0.38,"E",NA
5000,0.27,"B",0.25
7500,0.16,"B",0.87
15000,0.4,"B",0.79
1500,0.06,"HR",NA
15000,0.32,"B",0.76
3500,0.25,"C",0.29
3000,NA,"D",0.57
2000,0.26,"C",0.93
15000,0.3,"B",0.87
5000,0.2,"E",0.45
12000,0.32,"C",0.75
10000,0.27,"C",0.88
8000,0.22,"D",0
2500,0.29,"B",0.95
15000,0.14,"B",0.74
7500,0.25,"D",0.85
20000,0.35,"A",0.42
7000,0.12,"D",0.14
4000,NA,"HR",0.79
15000,0.35,"C",0.54
22000,0.23,"C",0.63
10000,NA,"A",0.39
4000,0.17,"HR",0.73
3000,NA,"E",0.19
2550,0.13759,"C",NA
4000,0.2,"HR",0.83
15000,0.24,"B",0.73
2000,0.11,"D",0
10000,0.31,"B",0.96
7500,0.26,"C",0.98
2000,0.06,"B",0.24
10000,0.27,"A",0.99
4000,0.26,"C",0.89
10000,0.38,"B",0.04
3000,0.23,"E",NA
4000,0.14,"HR",0.97
1000,0.01,"B",0.91
2500,0.1,"B",0.78
10000,0.42,"C",0.93
7500,0.19,"B",0.64
3300,0.2,"B",0.53
10000,0.29,"B",0.25
1600,0.25,"HR",0.56
4000,0.14,"C",NA
13000,0.11,"A",0.61
14500,0.22,"C",0.75
3000,0.07305,"C",NA
10000,0.24,"B",0.54
10000,0.44,"B",0.84
6000,0.24,"A",0.47
15000,0.17,"C",0.28
8000,0.18,"AA",0.19
5500,0.44,"E",0.52
4000,NA,"E",0.6
4000,NA,"D",0.6
7000,NA,"A",0.09
14080,0.24,"B",0.37
4000,0.36,"HR",0.76
3000,0.35,"E",NA
13000,0.11,"C",0.73
2000,0.14,"D",0
9800,0.23,"D",NA
15000,0.15,"C",0.36
8000,0.31,"B",0.01
4000,0.05,"E",0
15000,0.36,"C",0.64
10000,0.31,"C",0.52
9500,0.28,"C",0.68
4000,0.13,"E",0.46
25000,0.05,"C",1.01
2000,NA,"B",0
25000,0.33,"AA",0.4
22500,0.2,"B",0.73
4000,0.29,"D",0.88
10000,0.35,"E",0.92
10000,0.39,"B",0.07
17700,0.16,"A",0.54
1500,0.23,"E",0.83
7000,0.14,"A",0
6000,0.06,"B",0.31
4000,NA,"C",0.62
4000,0.29,"D",0.5
1000,0.29,"HR",NA
3000,0.28,"E",0.69
3500,0.1,"B",0
7000,NA,"B",0.67
10000,0.23,"E",0.94
2000,0.36,"C",0.51
5000,0.16,"C",0.34
15000,0.29,"B",0.98
1200,0.12,"HR",NA
6500,0.33,"C",0.66
6000,0.24,"A",0.51
17000,0.17,"B",0.49
20000,0.23,"A",0.6
8000,0.52,"B",0.07
10000,0.4,"E",0.94
11000,0.15,"AA",0.43
5000,0.26,"D",0.67
15000,NA,"A",0.71
2500,0.03,"E",0
23000,0.2,"AA",0.07
15000,NA,"B",0.11
9000,0.13,"B",0.79
5000,NA,"A",0.77
4000,0.11,"D",0
9800,0.32,"B",0.79
2854,0.1,"A",0.52
4000,0.08,"HR",NA
7866,0.18,"C",NA
9750,0.37,"A",0.95
15001,0.27,"AA",0.42
15000,0.25,"D",0.48
4000,0.46,"D",0.53
5000,0.2,"B",0.66
15000,0.05,"AA",0.21
7000,0.44,"D",0.12
20000,0.22,"C",0.83
25000,0.32,"B",0.42
3500,0.25,"C",0.64
2000,NA,"D",0.67
35000,0.21,"B",0.14
4000,0.24,"E",0.46
7500,0.19,"B",0.64
4000,0.14,"E",0
7000,0.14,"D",0.56
12500,0.09,"AA",0.14
2500,0.17,"B",0.81
4000,0.5,"E",0.6
3000,0.26,"E",0.97
2000,NA,"E",0.05
3000,0.13,"HR",NA
6500,0.08,"AA",0.17
3000,0.17,"A",0.41
2500,0.16,"D",NA
5500,0.09,"A",0.49
4000,0.38,"B",0.68
2000,0.23,"E",NA
20000,0.14,"A",0.42
15000,0.14,"C",0.98
3000,10.01,"A",0.21
13000,0.09,"AA",0.45
17500,0.32,"C",0.71
10000,0.32,"D",0.43
10000,0.32,"B",0.11
4000,0.13,"E",0.4
1000,0.14,"D",0.54
6001,0.12,"A",0.28
12000,0.29,"E",NA
4000,0.27,"D",0.66
8000,0.37,"C",0.63
1200,0.15,"A",0.23
2000,0.14,"A",0.65
11000,0.13,"B",0.73
1000,0.05,"A",0.05
9900,0.16,"A",0.3
7000,0.13,"A",0.07
15000,0.2,"B",0.21
15000,0.17,"D",0.77
8500,0.17,"B",0.86
15000,NA,"B",0.75
10000,0.44,"D",0.94
10000,0.26,"B",0.66
25000,0.21,"A",0.02
2800,0.21,"AA",0
8000,0.29,"C",0.54
3000,0.23,"D",0.74
10000,0.29,"A",0.9
15000,0.6,"C",0.69
7000,0.2,"C",0.09
1500,0.06,"E",0
13000,0.23,"C",0.76
5000,0.06,"B",0.57
6571,NA,"B",0.91
4000,0.24,"E",0.34
7500,0.37,"D",0.67
6001,0.19,"D",1.04
4000,0.47,"HR",0.93
20000,0.27,"A",0.72
4000,0.32,"D",0.56
2900,0.26,"C",0.54
4000,NA,"E",0.85
15000,0.38,"B",0.63
4200,0.28,"A",0.34
5000,0.33,"C",0.47
8500,0.19,"D",0.8
15000,0.35,"C",0.67
5700,0.43,"D",0.46
4000,0.12,"HR",0.99
15000,0.22,"D",0.67
4000,0.42,"D",0.79
7700,0.23,"D",0.59
7000,0.36,"C",0.71
3400,0.13,"C",0.57
10000,NA,"A",0.85
5000,0.29,"B",0.93
33750,0.24,"B",0.4
13000,0.36,"C",0.59
15000,NA,"C",0.9
15000,0.25,"D",0.64
10000,NA,"B",0.45
2000,0.14,"HR",0.68
10000,0.07,"B",0.55
15000,0.22,"AA",0.25
4000,0.42,"HR",0.84
15000,0.24,"B",0.77
10000,0.19,"D",0.68
6000,0.24,"A",0.61
11300,NA,"B",0.54
10000,0.3,"C",0.5
1000,0.26,"C",0.32
10000,0.38,"A",0.8
4000,NA,"E",0.74
18000,0.23,"C",0.5
7200,0.11,"HR",1.12
4000,0.21,"C",0.57
4500,0.32,"B",0.55
2500,0.08,"D",1.02
12565,0.27,"B",0.61
2000,NA,"HR",0
15000,0.2,"C",0.63
3000,0.19,"C",0
1000,0.2,"E",NA
5000,0.03,"B",0
4000,1.19,"HR",0.82
3000,0.35,"HR",0.95
7000,0.23,"C",1.3
8000,0.25,"B",0.73
3000,NA,"HR",0.12
3500,0.1,"C",0.68
2500,0.29,"C",NA
7500,NA,"E",0.98
16000,0.17,"A",0.29
8000,0.23,"A",0.83
7500,0.28,"E",0
10000,0.24,"C",0.76
10000,0.46,"E",0.79
15000,0.33,"A",0.57
4000,0.07,"E",0.46
15000,0.29,"B",0.43
2000,0.18,"C",0.26
7000,0.35,"C",0
2000,0.17,"D",0.99
12000,0.29,"C",0.95
1000,NA,"HR",0
20000,0.16,"AA",0.66
4000,NA,"HR",0.41
1800,0.44,"HR",0
6000,0.43,"AA",0.09
3500,0.23,"D",1
13000,NA,"C",0.46
5000,0.5,"AA",0.38
5000,0.17,"AA",0.06
14000,0.21,"C",0.42
1450,3.49,"HR",0.9
3000,0.23,"A",0.77
8500,0.18,"B",0.05
10000,0.28,"C",0.37
1500,0.29,"E",0.82
7000,0.13,"A",0.62
7000,0.48,"D",0.51
6000,NA,"E",0.93
7000,0.11,"B",0.18
10000,0.23,"D",0.74
4500,0.18,"B",0.41
2000,0.31,"A",0.21
35000,0.29,"A",0.78
2500,0.29,"HR",0.86
35000,0.24,"B",0.69
2500,0.14,"C",0.98
2000,0.47,"HR",0.91
2000,0.52,"B",NA
10000,NA,"B",0
15000,NA,"B",0.89
20000,0.17,"A",0.42
2000,0.37,"HR",0.34
12000,0.12,"AA",0.68
10000,0.15,"C",0.26
13000,0.17,"D",0.27
10000,0.4,"B",0.32
15000,0.39,"B",0.57
15000,0.37,"B",0.76
2000,0.24,"HR",1.35
9000,0.32,"B",0.97
7500,0.31,"B",0.75
4000,0.34,"C",0.48
15000,0.35,"C",0.6
20000,0.26,"AA",0.36
6000,0.21,"D",0.93
11500,0.2,"A",0.26
3900,0.23,"B",0.21
10000,0.23,"AA",0.26
10000,0.03,"B",0.39
3001,0.19,"E",NA
15000,0.34,"B",0.76
7500,0.14,"C",0.68
15000,0.19,"AA",0.13
15000,0.17,"A",0.39
25000,0.28,"A",0.32
3000,0.02,"AA",NA
2100,0.21,"E",0.51
9000,NA,"C",0.78
1500,0.11,"C",0.65
15000,0.21,"A",0.5
5000,0.74,"B",0.77
10000,0.15,"AA",0.16
15000,0.37,"C",0.45
5768,0.43,"D",0.18
6500,0.16,"B",0
9000,0.27,"A",0.8
3000,0.18,"D",0.62
3500,0.21,"D",0.92
11500,0.37,"C",0.65
2000,0.05,"AA",0.08
18268,0.24,"B",0.6
2550,0.03,"HR",NA
13000,0.17,"B",0.23
4000,0.09,"E",0.04
9000,0.24,"AA",0
5000,0.3,"A",0.84
35000,0.32,"B",0.56
2000,0.24,"HR",0.95
2500,0.2,"HR",0.95
4000,NA,"HR",0.74
4000,NA,"E",0.95
15000,0.33,"A",0.5
1000,0.25,"HR",0
30000,0.15,"A",0.2
20000,0.27,"B",0.96
1500,0.23,"D",NA
10000,0.36,"B",0.67
9000,NA,"D",0.89
3000,0.02,"D",0.79
3000,0.02,"A",NA
3600,0.2,"E",0.31
8000,NA,"B",0.07
1000,0.04,"E",0.79
8000,NA,"B",0.17
3000,0.13,"A",0.49
15000,0.17,"B",0.92
20000,0.14,"AA",0
15000,0.7,"D",0.94
17000,0.11,"AA",0.58
6000,0.28,"E",0.88
4000,0.27,"E",0.68
12000,0.28,"B",0.41
7000,0.18,"D",0
10000,0.46,"D",0.84
5000,0.16,"D",0.95
5000,0.26,"E",0.46
4000,0.12,"HR",0.36
6800,0.24,"C",0.69
10000,0.34,"A",0.18
22000,0.12,"AA",0
4600,0.34,"D",0.63
6500,0.12,"C",0.86
11500,0.38,"C",0.64
3500,0.14,"E",NA
8000,0.24,"A",0.85
4000,0.12,"E",0.97
10000,0.33,"A",0.59
6500,0.08,"A",0.25
12880,0.25,"B",0.93
15000,0.16,"C",0.91
10000,0.22,"A",0.59
5000,0.33,"C",0.46
4000,0.19336,"E",NA
5000,0.06,"A",0.84
8500,0.27,"AA",0.35
1900,0.2,"D",NA
4000,0.42,"E",0.76
15000,0.38,"C",0.96
15000,0.16,"C",0.56
4000,0.26,"B",0.8
15000,0.09,"C",0.91
4000,0.12,"E",0
25000,NA,"AA",0
5000,0.47,"D",0.19
8000,0.18,"D",0.96
35000,0.3,"A",0.22
9000,0.18,"D",0.8
15000,0.29,"C",0.69
5000,0.2,"E",NA
10000,0.07,"B",0.75
5000,0.05,"C",0.13
3500,0.16,"E",0.99
15000,0.34,"A",0.45
4000,0.25,"B",0.89
10000,0.06,"B",0.94
2000,0.11,"HR",0
4000,NA,"HR",0.9
4000,0.2,"D",0.91
8000,0.22,"A",0.02
10000,0.38,"C",0.98
1000,0.23,"E",0.97
5000,0.22,"A",NA
3500,0.11,"A",0
4000,0.26,"B",0.47
8500,0.16,"D",0.96
20000,0.31,"A",0.87
4000,0.29,"HR",0
25000,0.18,"B",0.18
3000,0.23,"HR",0
10000,0.19,"C",0.52
4000,0.28,"HR",0.96
19000,0.21,"A",0.53
2500,0.39,"C",0.97
5000,0.21,"C",0.15
15000,0.46,"C",0.14
12000,0.37,"B",0.96
3000,0.45,"E",0.78
6000,0.76,"C",0.74
8000,0.39,"B",0.87
1000,0.24,"HR",NA
7500,0.19,"E",0.92
13000,0.17,"B",0.89
8000,0.24,"D",0.79
10000,0.24,"B",0.69
2500,0.28,"C",0.68
3000,NA,"HR",0
4000,0.69,"HR",1.13
1250,0.07,"D",0
25000,0.21,"B",0.52
2000,0.18,"A",0.96
15000,NA,"C",0.88
10000,NA,"D",0.44
4000,0.21,"E",0.98
5000,NA,"C",0.58
2500,0.2,"HR",NA
6000,0.14,"AA",0.26
4000,0.54,"C",0.6
9500,0.16,"C",0.5
15000,0.14,"B",0.93
2100,0.13,"C",0.31
4000,0.3,"HR",0.98
6000,0.35,"A",0.61
4000,0.42,"E",0.67
23000,0.35,"AA",0.22
4000,NA,"HR",0.78
15000,0.2,"C",0.39
16000,0.21,"A",0.5
5900,0.07,"A",0.31
1000,0.14,"E",0.8
7900,0.08,"A",0
10000,0.28,"A",0.96
5000,0.17,"E",0.56
2550,0.12,"HR",0.51
7500,0.13,"B",0.43
15000,0.46,"E",NA
20000,0.28,"AA",0.35
12000,0.29,"B",0.22
15000,0.5,"C",0.91
35000,0.18,"B",0.4
4000,0.47,"E",0.82
6000,0.12,"B",0.95
4000,NA,"HR",0.28
6001,0.19,"D",0.24
15000,0.17,"A",0.14
7000,0.16,"A",0.05
8000,0.35,"C",0.4
10000,0.2,"B",0.18
7500,0.19,"AA",0.4
20000,0.19,"A",0.48
10000,0.27,"C",0.07
25000,0.2,"B",0.85
8500,0.11,"B",0.53
25000,0.28,"B",0.95
4000,0.21,"HR",1.08
1200,0.35,"HR",1
2300,0.22,"B",0.54
10000,0.24,"C",0.34
10000,0.29,"C",0.95
4000,0.19,"E",0.16
7000,0.03,"AA",0.03
10000,0.18,"C",0.77
10000,NA,"A",0.6
3000,0.05,"D",0.82
10000,0.19,"B",0.94
1600,0.4,"A",0.73
19000,0.19,"AA",0.17
16000,0.22,"C",0.87
24000,0.31,"B",0.98
1000,0.64,"A",0.12
15000,0.07,"B",0.08
5500,0.19,"A",0.4
6063,0.23,"A",0.24
1000,0.16,"E",1
1000,0.02,"A",0
5000,0.16,"B",0.52
3000,0.17,"B",0.46
10000,0.28,"D",0.74
25000,0.12,"A",0.77
13500,0.28,"B",0.68
11000,0.25,"A",0.07
4000,NA,"D",0.38
15000,0.23,"D",0.54
4000,0.16,"D",0.64
8500,0.14,"D",0.77
4000,0.13,"C",0.71
4000,0.17,"D",0.94
4000,0.49,"HR",0.7
3750,0.09,"HR",0.6
5500,NA,"E",0.78
3500,0.3,"D",0.37
11000,0.16,"A",0.7
4000,0.07,"E",0.05
3500,0.72,"C",0.67
15000,NA,"D",0
5000,0.2,"C",0.42
25000,0.13,"C",0.69
4000,0.35,"E",0.8
1000,0.63,"C",0.96
10000,0.1,"C",0.76
1000,0.05,"AA",0.02
4000,0.28,"D",0.49
5500,0.91,"HR",0.39
15000,0.18,"D",0.5
10000,0.24,"C",0.94
3000,2.5,"HR",NA
15000,0.31,"B",0.61
15000,0.18,"AA",0.24
15000,0.17,"AA",0.03
2000,0.28,"D",0.89
15000,0.43,"A",0.72
5000,0.18,"C",0.51
3900,0.23,"D",1.07
2000,0.18,"B",0.19
7400,0.1,"A",0.77
15000,0.41,"B",0.81
5000,0.13,"D",NA
24500,0.21,"A",0.01
10000,0.13,"B",0.8
4000,0.13,"E",0.74
10000,0.3,"B",0.87
7500,0.12,"D",0.91
13000,0.24,"AA",0.68
15000,0.4,"D",0.76
4000,0.54,"E",NA
5000,0.12,"D",0.41
25000,0.11,"B",0.84
4000,0.13,"HR",0.7
6001,0.36,"B",0.96
2000,0.1,"E",0.44
4000,0.12,"E",0
10000,0.17,"A",0.31
20000,0.33,"C",0.91
15000,0.41,"B",0.56
1000,0.02,"HR",NA
4000,0.41,"HR",0.61
18000,0.22,"B",0.69
7500,NA,"E",0.21
5000,0.13,"A",NA
6000,NA,"B",0.48
3500,0.11,"D",0.51
7000,0.34,"C",0.95
15000,0.29,"B",0.8
3000,0.34,"D",0.84
10000,0.36,"C",0.49
15000,0.19,"B",0.8
5000,0.33,"B",0.62
4000,0.18,"C",0.03
10000,0.19,"E",1
4000,NA,"HR",0
1000,0.21,"D",0.97
3000,0.33,"C",0.29
15000,0.18,"C",0.05
10000,0.37,"C",0.32
3500,0.22,"B",0.79
3500,0.37,"D",0.99
20000,0.14,"AA",0.53
8000,0.36,"C",0.61
4100,0.14,"C",1
2500,0.06,"HR",0.39
3500,0.21,"D",0
7500,0.08,"D",0.88
17000,0.21,"C",0.87
4000,NA,"HR",0.47
10000,0.12,"B",0.65
10000,0.47,"D",0.9
4000,0.36,"D",NA
20000,0.29,"A",0.66
5000,0.29,"D",0.93
3700,0.08,"D",0.61
1000,NA,"NC",NA
15700,0.18,"AA",0.01
5000,0.16,"D",0.87
15000,0.21,"C",0.98
10000,0.36,"E",0.56
15000,0.19,"A",0.79
6000,0.12,"B",0.48
1900,0.2,"E",1
4000,0.19,"HR",0.71
3900,NA,"HR",0.81
15001,0.41,"B",0.79
4000,0.23,"D",0.7
13000,0.08,"A",0.37
15000,0.2,"AA",0.54
12000,0.09,"AA",0.42
4000,0.13,"C",0.48
3500,0.29,"HR",0.98
6000,0.07,"A",0.19
10000,0.23,"D",0.3
6300,0.54,"HR",0.89
10000,0.15,"C",0.63
3800,0.1,"D",0
15000,0.4,"B",0.33
5000,0.03,"A",0.06
15000,0.32,"AA",0.28
1000,0.05,"E",0.52
24999,0.05,"AA",0
13000,0.29,"C",0.68
9000,0.27,"B",0.47
18000,0.24,"A",0.57
16000,0.37,"B",0.61
4000,NA,"B",0.45
3000,0.32,"C",0.66
4000,0.17,"HR",0.69
1000,0.16,"B",NA
9000,0.17,"C",0.23
15000,0.24,"C",0.54
8500,0.11,"A",0.17
8000,0.22,"B",0.96
4000,0.23,"A",0.48
15000,0.33,"C",0.68
13000,0.23,"B",0.91
2200,0.34,"A",0.1
2550,0.21,"E",NA
5000,0.43,"E",0.93
6000,0.1,"D",0.61
4000,0.13,"HR",0.8
3500,0.05,"E",0
4000,0.13,"E",0.9
15000,0.34,"C",0.88
4000,0.28,"E",0
25000,0.15,"A",0.95
5500,0.4,"B",0.61
10000,0.47,"C",0.45
4000,0.47,"D",0.96
4450,0.14,"AA",NA
4000,0.08,"HR",0.43
10000,0.32,"E",0.81
10000,0.16,"A",0.23
5000,0.41,"D",0.53
15000,0.25,"C",0.77
2000,0.37,"E",0.96
15000,0.29,"D",0.39
3000,0.19,"D",NA
3500,0.14,"AA",0.02
4000,0.24,"E",0.59
4000,0.36,"E",0.64
2500,0.71,"E",0.97
10000,0.52,"D",0.8
1500,0.39,"E",0.97
3000,0.07,"C",0.95
4200,0.06,"E",0.45
11490,0.25,"C",0.79
4500,0.12,"HR",NA
4000,0.22,"E",0.96
3000,0.11,"C",0.99
15000,0.27,"D",0.57
10000,0.17,"A",0
15000,0.1,"B",0.74
3267,0.06,"HR",0
1500,0.18,"D",0.85
5500,0.42,"C",0.97
3001,0.39,"D",NA
3700,0.2,"A",NA
6500,0.31,"C",0
4000,NA,"E",0.93
10000,0.38,"C",0.1
25000,0.24,"A",0.32
12000,NA,"C",0
18456,0.22,"C",0.52
7500,0.27,"E",0.43
6000,0.34,"C",0.24
8500,0.18,"A",0.06
6000,0.29,"B",0.27
15000,0.38,"B",0.75
3000,0.35,"A",0.85
1200,0.08,"HR",0.89
1000,0.12,"HR",0
4000,NA,"D",0.84
4000,0.1,"E",0.49
20000,0.3,"A",0.41
10000,0.19,"C",0.96
10000,0.43,"C",0.45
20000,0.4,"B",0.76
8800,0.24,"C",0.98
1000,NA,"HR",0.97
20000,0.2,"A",0.67
3000,0.08,"D",0
20000,0.3,"AA",0.3
4000,NA,"C",0.3
10000,0.24,"E",0.32
4000,0.23,"E",0.42
4500,NA,"B",0.84
7500,0.32,"A",0.47
2780,0.06,"HR",0
11500,0.21,"D",0.74
12500,0.11,"C",0
2700,0.25,"B",0.61
4000,0.07,"HR",0.51
4850,0.13,"AA",0.35
2000,0.55,"HR",0.94
5000,0.04,"C",NA
12500,0.14,"A",0.51
7500,0.12,"D",0.87
15000,0.18,"B",0.09
10000,0.18,"B",0.98
15000,0.25,"B",0.77
5500,0.23,"B",NA
6000,0.16,"A",0.39
11250,0.17,"A",0.06
2000,0.05,"B",0.95
10000,0.3,"B",0.82
3001,0.21,"E",0.79
5000,0.34,"B",0.41
10000,NA,"B",0.58
15000,0.28,"AA",0.56
2500,0.4,"HR",0.85
1250,NA,"E",0.68
10000,0.11,"A",0.94
1030,0.27,"E",0.99
15000,0.47,"C",0.87
12000,0.2,"C",0.94
5200,0.15,"A",0.23
3000,0.27,"B",0.2
7500,NA,"E",0.77
5000,0.22,"B",0.27
7000,0.27,"B",0.64
3900,0.22,"D",0.66
7100,0.22,"C",0.28
7900,0.29,"C",0.3
4000,0.15,"C",0.09
3100,0.39,"C",0.98
8000,0.19,"C",0.98
3100,0.43,"C",0.86
1000,0.05,"AA",0
7000,NA,"B",0
2551,0.12,"HR",1
10000,0.26,"AA",0.11
3000,0.09,"HR",NA
1200,NA,"AA",NA
35000,0.19,"B",0.61
5000,NA,"D",0.53
10500,0.08,"D",NA
1300,NA,"C",0.87
8500,0.22,"B",0.39
2000,0.08,"AA",0.22
7500,0.33,"B",0.19
15000,0.2,"A",0.7
11500,0.21,"A",0.64
8000,0.27,"B",0.99
20000,0.27,"A",0.43
3500,0.2,"AA",0.15
4000,0.14,"C",0.94
4000,0.38,"B",0
10000,0.15,"C",NA
9500,0.32,"C",0.6
4000,0.2,"C",0.26
2000,0.13,"AA",0.23
5000,0.28,"B",0.19
3000,0.48,"C",0.61
7000,0.22,"E",0.95
3000,NA,"D",0.3
8000,0.09,"A",0.45
10000,0.22,"B",0.31
15000,0.18,"A",0.92
10000,NA,"C",0.72
15000,0.18,"A",0.77
2000,0.08,"AA",0.04
6001,0.2,"C",0
12000,0.27,"D",0.68
7000,0.25,"C",0.96
1000,0.26,"D",0
3000,0.16,"HR",1
2800,0.09,"HR",0.79
6000,0.46,"D",0.18
2000,0.35,"HR",0.64
20000,0.17,"A",0.89
4000,0.11,"AA",0.27
10000,0.21,"D",0.88
3500,0.47,"C",0.48
5000,0.21,"D",0.96
5000,0.37,"D",0.65
4000,0.18,"HR",0.23
12000,0.22,"D",0.1
4000,0.28,"C",0.81
15000,0.33,"A",0.4
4000,NA,"AA",0.48
20000,0.21,"A",0.59
15000,0.39,"C",0.77
2000,0.18,"E",0.97
4000,0.12,"AA",0.44
20000,0.36,"A",0.94
1000,NA,"AA",0.28
15000,NA,"C",0.89
6000,0.18,"A",0.18
12000,0.13,"A",0.27
4000,NA,"HR",0
3000,0.1,"A",0.15
13000,0.23,"D",0.66
3900,0.1,"A",0
8000,0.14,"B",0.57
15000,0.41,"B",0.27
5500,0.19644,"C",NA
2500,0.03,"HR",NA
4000,0.2,"C",0.58
2000,0.06,"C",0
20000,0.15,"B",0.54
4000,0.5,"E",0
4000,0.36,"HR",0.92
8400,0.37,"B",0.71
14000,0.15,"A",0.51
13000,0.4,"D",0.8
3000,0.12,"AA",0.02
7500,0.46,"E",0.07
1400,0.45,"D",0.98
7500,0.22,"A",0.76
13000,0.14,"AA",0.24
10500,0.27,"C",0.58
3000,0.22,"B",0.9
7000,0.29,"D",0.87
3000,10.01,"A",0.1
4800,NA,"E",0.97
6000,0.37,"C",0.68
4000,0.12,"D",0.9
12000,0.34,"D",0.95
5000,0.18,"C",0
1200,0.2,"HR",NA
2000,0.01087,"E",NA
2000,0.04,"C",0
4000,0.1,"HR",0
10000,0.24,"B",0.56
5000,0.18,"B",0.94
15000,0.26,"C",0.98
15000,0.38,"C",0.39
5500,0.38,"C",0.49
10000,0.51,"D",0.83
25000,0.28,"C",0.98
2000,0.17,"E",0.26
5500,0.12,"C",0.26
3800,0.27,"D",1.14
13000,0.21,"B",0.23
10000,0.44,"B",0.69
10000,0.34,"B",0.98
15000,0.17,"A",0.38
3500,0.2,"B",0.05
15000,0.21,"B",0.67
2000,0.14,"B",0.73
5000,0.28,"C",0.87
24000,0.15,"A",0.02
3550,0.2,"A",0.13
10000,0.33,"B",0.58
4000,0.14,"E",0.5
15000,0.4,"B",0.5
8000,0.34,"D",NA
13500,0.21,"D",0.98
8000,0.25,"C",0.49
15750,0.17,"AA",0.56
14326,0.28,"A",0.29
6500,0.21,"E",0.91
4000,NA,"C",0.92
5100,0.17,"E",0
9999,0.15,"A",0
10000,0.11,"C",0.53
20000,0.21,"C",0
2000,0.14,"C",0.38
8000,0.17,"B",0.39
6000,0.22,"D",0.97
4000,NA,"B",0.15
1400,0.05,"D",0.26
3500,0.17,"E",0.98
25000,0.23,"C",1.01
4500,0.15,"C",0.45
1500,0.11,"",0.08
5000,0.07,"AA",0.21
3400,0.21,"HR",0.19
5000,0.18,"D",0.89
15000,0.28,"B",0.34
3000,0.13,"C",0.36
15000,0.26,"A",0.64
4000,0.21,"A",0.27
21721,0.17,"B",0.57
15000,0.38,"B",0.5
4000,0.18,"D",0.7
2000,0.23,"D",0.32
15000,0.2,"C",0.96
11000,0.21,"A",0.56
25000,0.24,"B",0.72
4000,0.5,"E",0.91
5384,NA,"E",0.45
10000,0.33,"B",0.52
4000,0.28,"E",1.01
13500,0.29,"B",0.47
3000,0.31,"D",0.92
2000,0.09,"A",0.38
3500,0.25,"D",NA
2700,0.16,"HR",1
7000,0.1,"A",0.01
9000,0.48,"C",NA
4000,0.45,"D",0.59
